name,rating,date,text
Merry Agustina,5,8 bulan lalu,
Jalu Akbar Kusuma,5,9 bulan lalu,
Jalu Akbar Kusuma,5,9 bulan lalu,
Dodi Kustiana,5,9 bulan lalu,
Dodi Kustiana,5,9 bulan lalu,
Met Met,5,9 bulan lalu,
Met Met,5,9 bulan lalu,
Andi Surahman,4,9 bulan lalu,
Andi Surahman,4,9 bulan lalu,
Adhimasf Obet,3,9 bulan lalu,
Adhimasf Obet,3,9 bulan lalu,
Riza Budiarto,5,9 bulan lalu,Sangat bagus. Apalagi kalau dikelola lebih baik.
Riza Budiarto,5,9 bulan lalu,Sangat bagus. Apalagi kalau dikelola lebih baik.
Era Ladyna,4,9 bulan lalu,"Tiket 35.000, naik banana boat dan donat boat 30.000, banyak kapal bersandar, buat nyebrang pulau.. Kesini sore hari, ombak tidak besar.."
Era Ladyna,4,9 bulan lalu,"Tiket 35.000, naik banana boat dan donat boat 30.000, banyak kapal bersandar, buat nyebrang pulau.. Kesini sore hari, ombak tidak besar.."
